iter	Passed	Remaining
404	8680	12752
405	8699	12728
406	8719	12703
407	8737	12678
408	8756	12653
409	8775	12627
410	8793	12601
411	8812	12576
412	8832	12553
413	8853	12531
414	8874	12509
415	8893	12485
416	8912	12459
417	8932	12436
418	8953	12415
419	8974	12393
420	8995	12371
421	9016	12350
422	9038	12329
423	9058	12306
424	9079	12284
425	9099	12260
426	9120	12239
427	9139	12214
428	9159	12191
429	9179	12167
430	9199	12145
431	9229	12134
432	9248	12110
433	9267	12086
434	9287	12062
435	9306	12038
436	9327	12016
437	9348	11994
438	9367	11970
439	9386	11946
440	9406	11923
441	9426	11899
442	9445	11876
443	9465	11853
444	9484	11829
445	9504	11806
446	9522	11781
447	9541	11756
448	9561	11733
449	9579	11708
450	9598	11683
451	9616	11659
452	9634	11633
453	9654	11610
454	9673	11587
455	9694	11565
456	9712	11540
457	9731	11516
458	9750	11492
459	9768	11467
460	9787	11443
461	9806	11419
462	9824	11394
463	9841	11368
464	9859	11343
465	9877	11319
466	9896	11295
467	9916	11272
468	9935	11248
469	9954	11224
470	9975	11204
471	9995	11181
472	10014	11158
473	10033	11134
474	10052	11111
475	10071	11087
476	10092	11065
477	10112	11042
478	10131	11019
479	10148	10994
480	10167	10971
481	10188	10948
482	10207	10925
483	10225	10901
484	10243	10876
485	10261	10853
486	10279	10828
487	10299	10806
488	10323	10787
489	10343	10765
490	10361	10741
491	10379	10717
492	10398	10693
493	10415	10668
494	10434	10645
495	10452	10620
496	10469	10596
497	10487	10571
498	10505	10547
499	10523	10523
500	10542	10500
501	10560	10476
502	10579	10453
503	10598	10430
504	10615	10405
505	10633	10381
506	10653	10358
507	10672	10336
508	10692	10313
509	10710	10290
510	10728	10266
511	10746	10242
512	10767	10222
513	10787	10200
514	10807	10178
515	10828	10156
516	10846	10133
517	10865	10110
518	10886	10089
519	10906	10067
520	10926	10045
521	10948	10025
522	10968	10003
523	10987	9981
524	11007	9958
525	11025	9935
526	11042	9911
527	11062	9889
528	11080	9865
529	11099	9842
530	11119	9821
531	11139	9799
532	11157	9775
533	11175	9752
534	11194	9729
535	11212	9706
536	11232	9684
537	11250	9661
538	11269	9638
539	11286	9614
540	11305	9591
541	11326	9570
542	11344	9547
543	11364	9525
544	11381	9502
545	11400	9479
546	11418	9456
547	11436	9433
548	11455	9410
549	11474	9388
550	11494	9366
551	11515	9346
552	11537	9326
553	11560	9306
554	11580	9285
555	11601	9264
556	11625	9246
557	11646	9225
558	11670	9207
559	11691	9185
560	11710	9163
561	11731	9143
562	11753	9123
563	11774	9102
564	11793	9080
565	11813	9058
566	11832	9035
567	11850	9012
568	11870	8991
569	11889	8969
570	11909	8948
571	11929	8926
572	11948	8903
573	11967	8881
574	11985	8858
575	12004	8836
576	12023	8814
577	12042	8792
578	12061	8769
579	12080	8747
580	12100	8726
581	12120	8705
582	12140	8684
583	12160	8661
584	12179	8640
585	12200	8619
586	12220	8597
587	12238	8575
588	12257	8552
589	12276	8531
590	12297	8510
591	12318	8489
592	12335	8466
593	12354	8444
594	12371	8421
595	12391	8399
596	12409	8377
597	12430	8356
598	12450	8335
599	12470	8313
600	12489	8291
601	12509	8270
602	12529	8248
603	12549	8227
604	12568	8205
605	12587	8183
606	12604	8160
607	12623	8139
608	12643	8117
609	12662	8095
610	12679	8072
611	12698	8050
612	12717	8028
613	12735	8006
614	12755	7985
615	12773	7962
616	12793	7941
617	12813	7920
618	12833	7898
619	12851	7876
620	12868	7853
621	12886	7831
622	12904	7808
623	12923	7787
624	12942	7765
625	12962	7744
626	12981	7722
627	12999	7700
628	13018	7678
629	13037	7657
630	13055	7634
631	13073	7612
632	13096	7593
633	13116	7571
634	13135	7550
635	13155	7529
636	13175	7508
637	13195	7487
638	13214	7465
639	13232	7443
640	13266	7430
641	13288	7410
642	13307	7388
643	13325	7366
644	13343	7344
645	13361	7322
646	13380	7300
647	13399	7278
648	13421	7258
649	13442	7238
650	13460	7216
651	13480	7195
652	13499	7173
653	13518	7151
654	13537	7130
655	13558	7109
656	13577	7088
657	13595	7066
658	13614	7045
659	13637	7025
660	13657	7004
661	13676	6982
662	13694	6960
663	13712	6938
664	13729	6916
665	13748	6894
666	13766	6872
667	13785	6851
668	13804	6829
669	13822	6808
670	13839	6785
671	13857	6763
672	13875	6741
673	13893	6720
674	13911	6698
675	13930	6676
676	13948	6654
677	13967	6633
678	13987	6612
679	14006	6591
680	14024	6569
681	14044	6548
682	14063	6527
683	14081	6505
684	14100	6483
685	14117	6462
686	14136	6440
687	14154	6419
688	14172	6397
689	14191	6375
690	14212	6355
691	14233	6335
692	14253	6314
693	14277	6295
694	14298	6275
695	14318	6254
696	14339	6233
697	14361	6213
698	14383	6193
699	14402	6172
700	14425	6152
701	14445	6132
702	14465	6111
703	14485	6090
704	14506	6070
705	14526	6049
706	14546	6028
707	14567	6008
708	14589	5988
709	14610	5967
710	14629	5946
711	14649	5925
712	14668	5904
713	14686	5882
714	14704	5861
715	14723	5839
716	14743	5819
717	14762	5798
718	14781	5776
719	14800	5755
720	14821	5735
721	14843	5715
722	14867	5696
723	14890	5676
724	14915	5657
725	14940	5638
726	14964	5619
727	15037	5618
728	15062	5599
729	15086	5580
730	15107	5559
731	15128	5538
732	15149	5518
733	15169	5497
734	15191	5477
735	15209	5455
736	15230	5434
737	15250	5414
738	15270	5393
739	15289	5372
740	15308	5350
741	15327	5329
742	15347	5308
743	15365	5286
744	15383	5265
745	15404	5244
746	15424	5224
747	15443	5202
748	15463	5182
749	15483	5161
750	15503	5140
751	15522	5119
752	15542	5098
753	15562	5077
754	15581	5056
755	15600	5035
756	15620	5014
757	15639	4993
758	15659	4972
759	15681	4951
760	15702	4931
761	15722	4910
762	15746	4891
763	15767	4870
764	15789	4850
765	15812	4830
766	15832	4809
767	15854	4789
768	15876	4769
769	15897	4748
770	15918	4727
771	15937	4706
772	15957	4686
773	15976	4665
774	15998	4644
775	16020	4624
776	16041	4604
777	16063	4583
778	16084	4563
779	16107	4543
780	16128	4522
781	16148	4501
782	16168	4480
783	16189	4460
784	16210	4439
785	16231	4419
786	16253	4399
787	16276	4378
788	16296	4358
789	16316	4337
790	16337	4316
791	16358	4296
792	16379	4275
793	16400	4255
794	16423	4234
795	16446	4215
796	16471	4195
797	16491	4174
798	16513	4154
799	16534	4133
800	16554	4112
801	16574	4092
802	16596	4071
803	16623	4052
804	16643	4031
805	16663	4010
806	16686	3990
807	16708	3970
808	16728	3949
809	16750	3929
810	16771	3908
811	16791	3887
812	16812	3867
813	16835	3846
814	16853	3825
815	16873	3804
816	16894	3784
817	16914	3763
818	16933	3742
819	16952	3721
820	16972	3700
821	16992	3679
822	17014	3659
823	17034	3638
824	17053	3617
825	17073	3596
826	17093	3575
827	17112	3554
828	17131	3533
829	17150	3512
830	17168	3491
831	17185	3470
832	17203	3449
833	17224	3428
834	17248	3408
835	17269	3387
836	17288	3366
837	17305	3345
838	17323	3324
839	17342	3303
840	17361	3282
841	17379	3261
842	17398	3240
843	17416	3219
844	17436	3198
845	17455	3177
846	17474	3156
847	17495	3135
848	17512	3114
